B00, 185
B01, Trade, 1670.286, 145, S02, B01, 1
B01, Trade, 1680.714, 112, B01, S01, 1
B01, Trade, 1680.857, 150, S02, B01, 1
B01, Trade, 1724.857, 93, B01, S00, 1
B01, Trade, 1725.857, 99, B01, S00, 1
B01, Trade, 1727.857, 183, S00, B01, 1
B01, Trade, 1729.429, 64, B01, P00, 1
B01, Trade, 1742.429, 203, B01, B02, 1
B01, Trade, 1815.571, 105, B01, S00, 1
B01, Trade, 1881.286, 104, B01, S01, 1
B01, Trade, 1906.571, 102, B01, S01, 1
B01, Trade, 1907.571, 192, B01, S00, 1
B01, Trade, 1954.286, 98, B01, S00, 1
B01, Trade, 1987.857, 254, B01, B00, 1
B01, Trade, 1989.714, 66, B01, S02, 1
B01, Trade, 1993.429, 280, B02, B01, 1
B01, Trade, 1993.857, 412, S00, B01, 1
B01, Trade, 1994.571, 322, B01, B02, 1
B01, Trade, 1997.000, 267, B01, B02, 1
B01, Trade, 1997.143, 430, S01, B01, 1
B01, Trade, 1997.714, 105, B01, S01, 1
B01, Trade, 2000.571, 146, B01, S01, 1
B01, Trade, 2043.143, 452, B01, B00, 1
B01, Trade, 2058.000, 157, B01, S02, 1
B01, Trade, 2060.857, 237, B01, P00, 1
B01, Trade, 2061.143, 145, S00, B01, 1
B01, Trade, 2063.714, 323, B01, P00, 1
B01, Trade, 2073.000, 336, B01, S01, 1
B01, Trade, 2073.286, 133, S00, B01, 1
B01, Trade, 2103.000, 104, B01, S00, 1
B01, Trade, 2164.000, 105, B01, S00, 1
B01, Trade, 2169.429, 241, B01, P00, 1
B01, Trade, 2171.571, 260, B02, B01, 1
B01, Trade, 2171.714, 346, B00, B01, 1
B01, Trade, 2171.857, 163, S00, B01, 1
B01, Trade, 2209.857, 99, B01, B00, 1
B01, Trade, 2212.857, 178, B01, B00, 1
B01, Trade, 2238.857, 102, B01, S01, 1
B01, Trade, 2317.714, 273, B01, B02, 1
B01, Trade, 2318.143, 288, B00, B01, 1
B01, Trade, 2318.571, 291, S02, B01, 1
B01, Trade, 2319.714, 300, B01, S01, 1
B01, Trade, 2331.429, 278, B01, S00, 1
B01, Trade, 2631.857, 96, B01, S00, 1
B01, Trade, 2677.714, 321, B01, S02, 1
B01, Trade, 2678.429, 111, B02, B01, 1
B01, Trade, 2690.857, 147, B01, S01, 1
B01, Trade, 2721.286, 96, B01, S01, 1
B01, Trade, 2766.571, 89, S00, B01, 1
B01, Trade, 2767.143, 276, S01, B01, 1
B01, Trade, 2781.286, 114, B01, B02, 1
B01, Trade, 2791.571, 188, B01, B02, 1
B01, Trade, 2792.000, 70, B00, B01, 1
B01, Trade, 2796.429, 124, B01, S01, 1
B01, Trade, 2798.429, 111, B02, B01, 1
B01, Trade, 2798.857, 237, B02, B01, 1
B01, Trade, 2812.143, 87, S00, B01, 1
B01, Trade, 2812.857, 133, P00, B01, 1
B01, Trade, 2842.714, 105, B01, S00, 1
B01, Trade, 2887.429, 105, B01, S01, 1
B01, Trade, 2932.571, 97, B01, S01, 1
B01, Trade, 2948.000, 101, B01, S00, 1
B01, Trade, 3083.000, 100, B01, S01, 1
B01, Trade, 3083.286, 104, B01, S00, 1
B01, Trade, 3083.429, 392, B00, B01, 1
B01, Trade, 3084.000, 184, B01, S00, 1
B01, Trade, 3134.143, 104, B01, B02, 1
B01, Trade, 3173.571, 89, S00, B01, 1
B01, Trade, 3189.000, 262, B01, S02, 1
B01, Trade, 3203.286, 226, B01, S01, 1
B01, Trade, 3204.857, 340, B01, S01, 1
B01, Trade, 3205.429, 110, B02, B01, 1
B01, Trade, 3205.857, 90, P00, B01, 1
B01, Trade, 3218.714, 96, B01, S00, 1
B01, Trade, 3218.857, 241, S01, B01, 1
B01, Trade, 3220.714, 415, S00, B01, 1
B01, Trade, 3221.714, 87, B00, B01, 1
B01, Trade, 3222.857, 98, B01, P00, 1
B01, Trade, 3223.000, 282, S00, B01, 1
B01, Trade, 3249.286, 101, B01, S01, 1
B01, Trade, 3356.286, 103, B01, S01, 1
B01, Trade, 3356.571, 351, S01, B01, 1
B01, Trade, 3369.000, 131, B01, S01, 1
B01, Trade, 3384.429, 157, B01, S02, 1
B01, Trade, 3479.429, 98, B01, S01, 1
B01, Trade, 3582.714, 99, B01, S00, 1
B01, Trade, 3585.000, 116, B01, S00, 1
B01, Trade, 3597.143, 311, B01, B02, 1
B01, Trade, 3597.857, 249, B01, B00, 1
B01, Trade, 3625.143, 100, B01, S00, 1
B01, Trade, 3641.000, 91, S00, B01, 1
B01, Trade, 3703.571, 97, B01, S00, 1
B01, Trade, 3731.429, 142, B01, B02, 1
B01, Trade, 3748.000, 104, B01, S01, 1
B01, Trade, 3750.000, 97, B01, S01, 1
B01, Trade, 3806.143, 99, B01, S00, 1
B01, Trade, 3838.714, 101, B01, S01, 1
B01, Trade, 3868.143, 99, B01, S00, 1
B01, Trade, 3869.857, 302, B01, S01, 1
B01, Trade, 3870.143, 382, S02, B01, 1
B01, Trade, 3872.429, 294, S00, B01, 1
B01, Trade, 3883.143, 388, B01, S00, 1
B01, Trade, 3933.143, 100, B01, S02, 1
B01, Trade, 3933.857, 93, B01, P00, 1
B01, Trade, 3934.714, 299, B01, P00, 1
B01, Trade, 3956.857, 96, B01, S00, 1
B01, Trade, 3987.714, 98, B01, S00, 1
B01, Trade, 3989.714, 268, B01, S01, 1
B01, Trade, 3996.857, 160, B01, B02, 1
B01, Trade, 4002.429, 95, B01, S01, 1
B01, Trade, 4002.857, 84, S01, B01, 1
B01, Trade, 4017.143, 121, B01, S02, 1
B01, Trade, 4032.429, 96, B01, S00, 1
B01, Trade, 4034.571, 272, B01, S00, 1
B01, Trade, 4035.714, 458, B01, S02, 1
B01, Trade, 4047.571, 230, B01, S02, 1
B01, Trade, 4111.000, 103, B01, B02, 1
B01, Trade, 4113.000, 187, S02, B01, 1
B01, Trade, 4198.571, 97, B01, S02, 1
B01, Trade, 4201.571, 387, B01, S01, 1
B01, Trade, 4229.286, 98, B01, S01, 1
