S00, Trade, 2901.714, 96, P00, S00, 1
S00, Trade, 2902.714, 87, S00, B02, 1
S00, Trade, 2937.429, 103, B01, S00, 1
S00, Trade, 2993.143, 94, S00, B01, 1
S00, Trade, 3023.000, 91, S00, B02, 1
S00, Trade, 3082.714, 96, B01, S00, 1
S00, Trade, 3098.714, 96, B01, S00, 1
S00, Trade, 3128.571, 95, S00, B01, 1
S00, Trade, 3173.429, 96, P00, S00, 1
S00, Trade, 3233.286, 98, B01, S00, 1
S00, Trade, 3265.000, 103, B01, S00, 1
S00, Trade, 3279.000, 113, B02, S00, 1
S00, Trade, 3308.714, 95, S00, B01, 1
S00, Trade, 3341.429, 95, S00, B02, 1
S00, Trade, 3372.000, 97, B01, S00, 1
S00, Trade, 3385.571, 94, B00, S00, 1
S00, Trade, 3431.286, 90, S00, P00, 1
S00, Trade, 3459.571, 90, S00, P00, 1
S00, Trade, 3505.143, 105, B02, S00, 1
S00, Trade, 3538.571, 95, S00, B01, 1
S00, Trade, 3600.857, 95, B01, S00, 1
S00, Trade, 3656.286, 99, B01, S00, 1
S00, Trade, 3705.429, 91, B00, S00, 1
S00, Trade, 3732.714, 95, S00, B01, 1
S00, Trade, 3761.429, 87, S00, P00, 1
S00, Trade, 3791.571, 105, B02, S00, 1
S00, Trade, 3806.714, 95, S00, B01, 1
S00, Trade, 3837.857, 93, S00, P00, 1
S00, Trade, 3866.857, 90, S00, B00, 1
S00, Trade, 3911.571, 108, B02, S00, 1
S00, Trade, 3958.000, 94, S00, P00, 1
S00, Trade, 3972.143, 95, B00, S00, 1
S00, Trade, 4020.286, 88, B00, S00, 1
S00, Trade, 4032.571, 92, S00, P00, 1
S00, Trade, 4047.714, 94, S00, B01, 1
S00, Trade, 4107.857, 87, B00, S00, 1
S00, Trade, 4168.714, 88, B00, S00, 1
S00, Trade, 4199.857, 97, B01, S00, 1
S00, Trade, 4244.429, 97, B01, S00, 1
S00, Trade, 4275.571, 98, B01, S00, 1
S00, Trade, 4320.143, 96, B01, S00, 1
S00, Trade, 4335.714, 88, B00, S00, 1
S00, Trade, 4365.286, 86, S00, P00, 1
S00, Trade, 4410.571, 105, B01, S00, 1
S00, Trade, 4426.286, 93, S00, P00, 1
S00, Trade, 4472.429, 99, B01, S00, 1
S00, Trade, 4501.429, 91, B00, S00, 1
S00, Trade, 4518.714, 94, S00, P00, 1
S00, Trade, 4561.857, 88, S00, P00, 1
S00, Trade, 4592.714, 93, S00, P00, 1
S00, Trade, 4608.000, 95, B01, S00, 1
S00, Trade, 4637.857, 94, S00, P00, 1
S00, Trade, 4682.857, 94, B00, S00, 1
S00, Trade, 4685.429, 91, S00, B02, 1
S00, Trade, 4729.571, 86, B00, S00, 1
S00, Trade, 4744.429, 94, B00, S00, 1
S00, Trade, 4809.000, 94, S00, P00, 1
S00, Trade, 4834.571, 97, B01, S00, 1
S00, Trade, 4850.143, 91, S00, B01, 1
S00, Trade, 4864.857, 87, B00, S00, 1
S00, Trade, 4910.429, 88, B00, S00, 1
S00, Trade, 4941.143, 108, B02, S00, 1
S00, Trade, 4970.857, 88, B00, S00, 1
S01, 100
S01, Trade, 665.429, 108, B02, S01, 1
S01, Trade, 696.000, 96, B01, S01, 1
S01, Trade, 741.571, 100, B01, S01, 1
S01, Trade, 756.429, 108, B02, S01, 1
S01, Trade, 786.857, 99, S01, B02, 1
S01, Trade, 862.571, 103, S01, B02, 1
S01, Trade, 907.000, 103, S01, B02, 1
S01, Trade, 908.714, 98, S01, B01, 1
S01, Trade, 999.143, 95, S01, B01, 1
S01, Trade, 1074.000, 105, S01, B02, 1
S01, Trade, 1106.000, 104, B01, S01, 1
S01, Trade, 1134.571, 103, S01, B02, 1
S01, Trade, 1166.143, 95, B01, S01, 1
S01, Trade, 1180.429, 97, S01, B02, 1
S01, Trade, 1240.714, 104, B01, S01, 1
S01, Trade, 1271.714, 114, B02, S01, 1
S01, Trade, 1301.571, 104, S01, B02, 1
S01, Trade, 1332.714, 104, B01, S01, 1
S01, Trade, 1362.143, 100, S01, B02, 1
S01, Trade, 1422.429, 105, B02, S01, 1
S01, Trade, 1453.571, 95, S01, B02, 1
S01, Trade, 1544.857, 104, S01, B02, 1
S01, Trade, 1575.143, 105, B02, S01, 1
S01, Trade, 1666.000, 104, S01, B02, 1
S01, Trade, 1725.429, 101, S01, B02, 1
S01, Trade, 1755.429, 98, B01, S01, 1
S01, Trade, 1815.571, 96, B01, S01, 1
S01, Trade, 1817.571, 104, B01, S01, 1
S01, Trade, 1862.857, 96, S01, B02, 1
S01, Trade, 1907.000, 96, S01, B01, 1
S01, Trade, 1924.286, 97, S01, B02, 1
S01, Trade, 1952.429, 100, S01, B02, 1
S01, Trade, 1969.000, 102, B01, S01, 1
S01, Trade, 2027.857, 99, S01, B01, 1
S01, Trade, 2043.714, 97, S01, B02, 1
S01, Trade, 2088.000, 97, S01, B02, 1
S01, Trade, 2118.571, 100, S01, B02, 1
S01, Trade, 2148.571, 97, S01, B01, 1
S01, Trade, 2178.571, 101, S01, B02, 1
S01, Trade, 2239.429, 100, S01, B01, 1
S01, Trade, 2271.429, 98, S01, B02, 1
S01, Trade, 2316.000, 95, S01, B02, 1
S01, Trade, 2359.571, 96, S01, B01, 1
S01, Trade, 2404.857, 100, S01, B02, 1
S01, Trade, 2435.429, 99, S01, B02, 1
S01, Trade, 2465.000, 104, S01, B02, 1
S01, Trade, 2510.286, 114, B02, S01, 1
S01, Trade, 2557.429, 110, B02, S01, 1
S01, Trade, 2605.429, 95, S01, P00, 1
S01, Trade, 2616.571, 97, S01, B02, 1
S01, Trade, 2661.286, 103, S01, B02, 1
S01, Trade, 2691.286, 96, S01, B01, 1
S01, Trade, 2781.571, 102, B01, S01, 1
S01, Trade, 2813.429, 104, S01, B02, 1
S01, Trade, 2857.143, 100, B01, S01, 1
S01, Trade, 2873.000, 95, S01, B02, 1
S01, Trade, 2932.286, 102, S01, B02, 1
S01, Trade, 2964.286, 98, B01, S01, 1
S01, Trade, 2993.429, 95, S01, P00, 1
S01, Trade, 3068.143, 105, S01, B02, 1
S01, Trade, 3173.571, 102, S01, B01, 1
S01, Trade, 3218.857, 108, B02, S01, 1
S01, Trade, 3248.571, 102, B01, S01, 1
S01, Trade, 3265.571, 96, S01, P00, 1
S01, Trade, 3324.714, 100, S01, B02, 1
S01, Trade, 3384.857, 114, B02, S01, 1
S01, Trade, 3417.571, 100, B01, S01, 1
S01, Trade, 3476.000, 104, S01, B02, 1
S01, Trade, 3580.286, 102, S01, B02, 1
S01, Trade, 3655.571, 102, S01, B02, 1
S01, Trade, 3673.143, 105, B02, S01, 1
S01, Trade, 3716.571, 100, S01, B01, 1
S01, Trade, 3747.857, 99, S01, B02, 1
S01, Trade, 3822.000, 99, S01, B02, 1
S01, Trade, 3836.714, 100, S01, B01, 1
S01, Trade, 3896.429, 102, S01, B02, 1
S01, Trade, 3958.571, 100, S01, B02, 1
S01, Trade, 4017.714, 97, S01, B01, 1
S01, Trade, 4062.286, 97, S01, B01, 1
S01, Trade, 4079.571, 97, S01, B02, 1
S01, Trade, 4156.571, 97, B01, S01, 1
S01, Trade, 4172.000, 95, S01, P00, 1
S01, Trade, 4246.143, 98, S01, B02, 1
S01, Trade, 4274.714, 104, S01, B02, 1
S01, Trade, 4307.143, 105, B02, S01, 1
S01, Trade, 4321.000, 107, B02, S01, 1
S01, Trade, 4350.429, 95, S01, B01, 1
S01, Trade, 4380.571, 95, S01, B02, 1
S01, Trade, 4458.143, 102, S01, B02, 1
S01, Trade, 4502.000, 99, S01, B02, 1
S01, Trade, 4546.714, 100, S01, B02, 1
S01, Trade, 4578.286, 106, B02, S01, 1
S01, Trade, 4652.571, 102, S01, B02, 1
S01, Trade, 4668.000, 101, B01, S01, 1
S01, Trade, 4699.571, 96, S01, B01, 1
S01, Trade, 4789.857, 97, S01, B01, 1
S01, Trade, 4864.571, 101, S01, B02, 1
S01, Trade, 4897.857, 95, S01, B01, 1
S01, Trade, 4926.286, 104, S01, B02, 1
S01, Trade, 4957.000, 95, B01, S01, 1
S02, 39
S02, Trade, 98.143, 106, S02, B02, 1
S02, Trade, 182.714, 109, S02, B02, 1
S02, Trade, 242.857, 109, S02, B02, 1
S02, Trade, 318.714, 108, B02, S02, 1
S02, Trade, 378.000, 110, S02, B02, 1
S02, Trade, 453.286, 106, S02, B02, 1
S02, Trade, 499.286, 105, S02, B02, 1
S02, Trade, 544.429, 106, S02, B02, 1
S02, Trade, 785.857, 112, S02, B02, 1
S02, Trade, 983.143, 110, S02, B02, 1
S02, Trade, 1028.714, 105, S02, B02, 1
S02, Trade, 1104.000, 112, S02, B02, 1
S02, Trade, 1150.000, 114, S02, B02, 1
S02, Trade, 1332.000, 109, S02, B02, 1
S02, Trade, 1513.143, 112, B02, S02, 1
S02, Trade, 1785.857, 105, S02, B02, 1
S02, Trade, 1846.714, 106, S02, B02, 1
S02, Trade, 2149.286, 105, S02, B02, 1
S02, Trade, 2254.143, 110, S02, B02, 1
S02, Trade, 2344.571, 114, B02, S02, 1
S02, Trade, 2509.857, 108, S02, B02, 1
S02, Trade, 2587.143, 107, S02, B02, 1
S02, Trade, 2843.714, 110, S02, B02, 1
S02, Trade, 2887.429, 111, S02, B02, 1
S02, Trade, 3008.143, 106, S02, B02, 1
S02, Trade, 3113.000, 105, S02, B02, 1
S02, Trade, 3158.000, 111, S02, B02, 1
S02, Trade, 3250.143, 110, S02, B02, 1
S02, Trade, 3625.857, 107, S02, B02, 1
S02, Trade, 3687.571, 106, B02, S02, 1
