B00, 142
B01, Trade, 4381.143, 117, B01, P00, 1
B01, Trade, 4381.714, 90, B01, P00, 1
B01, Trade, 4410.857, 98, B01, P00, 1
B01, Trade, 4414.429, 90, B01, P00, 1
B01, Trade, 4432.857, 286, B01, S02, 1
B01, Trade, 4441.143, 99, B01, S01, 1
B01, Trade, 4501.429, 111, B01, S01, 1
B01, Trade, 4514.571, 256, B01, B02, 1
B01, Trade, 4531.857, 159, B01, S00, 1
B01, Trade, 4533.286, 136, B02, B01, 1
B01, Trade, 4534.000, 219, B02, B01, 1
B01, Trade, 4535.286, 275, B01, P00, 1
B01, Trade, 4536.143, 304, S00, B01, 1
B01, Trade, 4546.571, 115, B01, B02, 1
B01, Trade, 4611.143, 89, B01, S02, 1
B01, Trade, 4655.000, 106, B01, S00, 1
B01, Trade, 4671.143, 144, B01, S02, 1
B01, Trade, 4673.143, 291, B01, S00, 1
B01, Trade, 4688.857, 250, B01, S01, 1
B01, Trade, 4745.286, 104, B01, S00, 1
B01, Trade, 4776.429, 97, B01, S00, 1
B01, Trade, 4777.286, 210, B01, P00, 1
B01, Trade, 4780.000, 107, B01, S00, 1
B01, Trade, 4799.857, 105, S00, B01, 1
B01, Trade, 4836.857, 67, S00, B01, 1
B01, Trade, 4850.143, 71, B02, B01, 1
B01, Trade, 4864.857, 90, B01, B02, 1
B01, Trade, 4865.286, 107, S01, B01, 1
B01, Trade, 4865.429, 122, S02, B01, 1
B01, Trade, 4865.857, 273, B01, S01, 1
B01, Trade, 4866.286, 389, S00, B01, 1
B01, Trade, 4866.714, 97, B02, B01, 1
B01, Trade, 4867.000, 353, B01, S01, 1
B01, Trade, 4868.286, 242, B02, B01, 1
B01, Trade, 4910.571, 118, B01, S00, 1
B01, Trade, 4912.000, 166, P00, B01, 1
B01, Trade, 4912.857, 243, S02, B01, 1
B01, Trade, 4913.000, 353, B02, B01, 1
B01, Trade, 4957.429, 84, B01, S02, 1
B01, Trade, 4958.143, 372, B01, P00, 1
B01, Trade, 4980.000, 100, S01, B01, 1
B01, Trade, 4981.571, 101, P00, B01, 1
B01, Trade, 4984.857, 295, S01, B01, 1
B01, Trade, 4993.000, 274, B01, S00, 1
B02, 423
B02, Trade, 30.857, 68, S00, B02, 1
B02, Trade, 32.571, 109, B01, B02, 1
B02, Trade, 91.857, 106, S01, B02, 1
B02, Trade, 121.857, 134, S02, B02, 1
B02, Trade, 136.429, 129, B02, B00, 1
B02, Trade, 144.714, 134, S02, B02, 1
B02, Trade, 152.857, 225, B02, S01, 1
B02, Trade, 201.143, 122, B02, S01, 1
B02, Trade, 201.429, 142, S02, B02, 1
B02, Trade, 201.571, 272, B01, B02, 1
B02, Trade, 222.143, 120, B02, S02, 1
B02, Trade, 222.571, 103, S00, B02, 1
B02, Trade, 222.857, 174, B01, B02, 1
B02, Trade, 223.714, 180, B02, B00, 1
B02, Trade, 225.571, 78, S00, B02, 1
B02, Trade, 242.000, 147, B02, S01, 1
B02, Trade, 243.000, 140, S02, B02, 1
B02, Trade, 246.143, 181, B02, S01, 1
B02, Trade, 280.143, 136, B02, S01, 1
B02, Trade, 280.286, 257, B02, S01, 1
B02, Trade, 280.571, 46, B00, B02, 1
B02, Trade, 290.714, 104, B00, B02, 1
B02, Trade, 291.000, 360, B01, B02, 1
B02, Trade, 302.429, 64, B02, B01, 1
B02, Trade, 303.000, 103, B02, B01, 1
B02, Trade, 332.857, 56, S00, B02, 1
B02, Trade, 333.143, 96, S01, B02, 1
B02, Trade, 337.714, 66, B02, S00, 1
B02, Trade, 364.429, 126, B02, S01, 1
B02, Trade, 370.286, 106, S01, B02, 1
B02, Trade, 394.857, 155, B02, S01, 1
B02, Trade, 396.143, 122, S01, B02, 1
B02, Trade, 396.429, 98, B01, B02, 1
B02, Trade, 420.000, 129, B02, P00, 1
B02, Trade, 421.714, 137, B02, P00, 1
B02, Trade, 423.286, 236, B02, B01, 1
B02, Trade, 430.429, 92, B02, S02, 1
B02, Trade, 431.429, 366, B02, B01, 1
B02, Trade, 432.000, 379, S02, B02, 1
B02, Trade, 432.571, 185, B02, P00, 1
B02, Trade, 436.571, 155, B02, B01, 1
B02, Trade, 453.429, 75, B02, B01, 1
B02, Trade, 484.714, 59, B01, B02, 1
B02, Trade, 485.000, 86, S01, B02, 1
B02, Trade, 513.857, 125, B02, S01, 1
B02, Trade, 514.429, 199, B02, P00, 1
B02, Trade, 536.429, 294, B02, S00, 1
B02, Trade, 536.857, 59, B00, B02, 1
B02, Trade, 537.000, 21, B02, S01, 1
B02, Trade, 538.000, 150, B02, P00, 1
B02, Trade, 539.000, 189, B01, B02, 1
