S02, Trade, 1238.143, 136, S02, B02, 1
S02, Trade, 1343.571, 143, S02, B02, 1
S02, Trade, 1739.000, 128, S02, B02, 1
S02, Trade, 1932.429, 135, S02, B02, 1
S02, Trade, 2000.714, 143, S02, B02, 1
S02, Trade, 2109.714, 137, S02, B02, 1
S02, Trade, 2148.143, 131, S02, B02, 1
S02, Trade, 2480.000, 138, S02, B02, 1
S02, Trade, 2720.857, 147, B02, S02, 1
S02, Trade, 2968.571, 160, S02, B02, 1
S02, Trade, 2996.429, 121, S02, B02, 1
S02, Trade, 3121.857, 133, B02, S02, 1
S02, Trade, 3297.714, 126, S02, B02, 1
S02, Trade, 3360.143, 138, S02, B02, 1
S02, Trade, 3414.857, 131, S02, B02, 1
S02, Trade, 3504.571, 139, S02, B02, 1
S02, Trade, 3738.143, 124, S02, B02, 1
S02, Trade, 3776.143, 122, S02, B02, 1
S02, Trade, 3897.143, 130, S02, B02, 1
S02, Trade, 3914.143, 140, B02, S02, 1
S02, Trade, 3958.286, 133, B02, S02, 1
S02, Trade, 4227.857, 142, B02, S02, 1
S02, Trade, 4348.000, 120, S02, B02, 1
S02, Trade, 4403.857, 138, S02, B02, 1
S02, Trade, 4481.286, 133, B02, S02, 1
S02, Trade, 4552.286, 135, S02, B02, 1
S02, Trade, 4734.429, 123, S02, B02, 1
S02, Trade, 4924.857, 128, S02, B02, 1
S02, Trade, 4964.714, 147, S02, B02, 1
P00, 108
P00, Trade, 333.429, 76, S00, P00, 1
P00, Trade, 390.429, 127, B02, P00, 1
P00, Trade, 399.714, 58, S00, P00, 1
P00, Trade, 513.429, 107, B01, P00, 1
P00, Trade, 521.714, 63, S00, P00, 1
P00, Trade, 535.714, 86, B01, P00, 1
P00, Trade, 607.857, 69, S00, P00, 1
P00, Trade, 637.714, 102, B01, P00, 1
P00, Trade, 726.429, 71, S00, P00, 1
P00, Trade, 728.000, 100, B01, P00, 1
P00, Trade, 787.143, 86, S01, P00, 1
P00, Trade, 790.429, 101, B01, P00, 1
P00, Trade, 878.143, 99, S01, P00, 1
P00, Trade, 1052.286, 141, B02, P00, 1
P00, Trade, 1099.857, 91, S01, P00, 1
P00, Trade, 1103.571, 104, B01, P00, 1
P00, Trade, 1176.571, 85, P00, S00, 1
P00, Trade, 1186.571, 120, B01, P00, 1
P00, Trade, 1193.143, 80, S01, P00, 1
P00, Trade, 1230.429, 107, B01, P00, 1
P00, Trade, 1235.857, 83, S01, P00, 1
P00, Trade, 1272.714, 90, P00, B01, 1
P00, Trade, 1285.714, 58, S00, P00, 1
P00, Trade, 1290.429, 71, B00, P00, 1
P00, Trade, 1327.000, 62, S00, P00, 1
P00, Trade, 1331.857, 116, B01, P00, 1
P00, Trade, 1364.286, 80, S00, P00, 1
P00, Trade, 1417.714, 87, P00, B01, 1
P00, Trade, 1418.143, 92, S01, P00, 1
P00, Trade, 1488.000, 152, B02, P00, 1
P00, Trade, 1553.571, 53, S00, P00, 1
P00, Trade, 1566.857, 125, B02, P00, 1
P00, Trade, 1620.143, 80, S01, P00, 1
P00, Trade, 1628.000, 148, B02, P00, 1
P00, Trade, 1646.429, 62, S00, P00, 1
P00, Trade, 1655.143, 120, B02, P00, 1
P00, Trade, 1853.429, 80, P00, S00, 1
P00, Trade, 1856.286, 95, B01, P00, 1
P00, Trade, 2005.857, 61, S00, P00, 1
P00, Trade, 2030.000, 90, B01, P00, 1
P00, Trade, 2108.000, 84, P00, S00, 1
P00, Trade, 2175.571, 122, B02, P00, 1
P00, Trade, 2185.571, 64, S00, P00, 1
P00, Trade, 2199.857, 98, B01, P00, 1
P00, Trade, 2204.857, 86, S01, P00, 1
P00, Trade, 2210.571, 138, B02, P00, 1
P00, Trade, 2297.286, 78, S00, P00, 1
P00, Trade, 2300.286, 152, B02, P00, 1
P00, Trade, 2303.714, 69, S00, P00, 1
P00, Trade, 2305.571, 81, B01, P00, 1
P00, Trade, 2516.714, 76, S00, P00, 1
P00, Trade, 2526.429, 121, B02, P00, 1
P00, Trade, 2606.857, 90, S01, P00, 1
P00, Trade, 2615.000, 131, B02, P00, 1
P00, Trade, 2812.143, 77, S00, P00, 1
P00, Trade, 2814.714, 100, B01, P00, 1
P00, Trade, 2850.143, 80, S00, P00, 1
P00, Trade, 2876.571, 123, B02, P00, 1
P00, Trade, 2902.429, 88, S01, P00, 1
P00, Trade, 2905.000, 138, B02, P00, 1
P00, Trade, 2963.143, 95, S01, P00, 1
P00, Trade, 3018.571, 116, B01, P00, 1
P00, Trade, 3023.571, 94, S01, P00, 1
P00, Trade, 3072.143, 129, B02, P00, 1
P00, Trade, 3178.429, 91, S01, P00, 1
P00, Trade, 3271.857, 115, B01, P00, 1
P00, Trade, 3272.857, 83, S01, P00, 1
P00, Trade, 3331.000, 115, B01, P00, 1
P00, Trade, 3354.286, 45, S00, P00, 1
P00, Trade, 3402.571, 68, B00, P00, 1
P00, Trade, 3438.857, 86, S01, P00, 1
P00, Trade, 3442.857, 132, B02, P00, 1
P00, Trade, 3471.429, 90, S01, P00, 1
